GEO.id,GEO.id2,GEO.display-label,VD02,VD03,VD04
0500000US01001,01001,"Autauga County, Alabama",41953,46209,26996
0500000US01003,01003,"Baldwin County, Alabama",40174,43965,26480
0500000US01005,01005,"Barbour County, Alabama",25080,30613,12335
0500000US01007,01007,"Bibb County, Alabama",31402,35217,17583
0500000US01009,01009,"Blount County, Alabama",35054,38324,19736
0500000US01011,01011,"Bullock County, Alabama",20720,24717,11804
0500000US01013,01013,"Butler County, Alabama",24745,29896,12881
0500000US01015,01015,"Calhoun County, Alabama",31422,37538,18027
0500000US01017,01017,"Chambers County, Alabama",29795,33953,17247
0500000US01019,01019,"Cherokee County, Alabama",31247,34347,19448
0500000US01021,01021,"Chilton County, Alabama",32032,35610,17633
0500000US01023,01023,"Choctaw County, Alabama",25218,27434,12269
0500000US01025,01025,"Clarke County, Alabama",27743,30967,17971
0500000US01027,01027,"Clay County, Alabama",27539,32085,14485
0500000US01029,01029,"Cleburne County, Alabama",30727,33485,18839
0500000US01031,01031,"Coffee County, Alabama",33142,38306,20428
0500000US01033,01033,"Colbert County, Alabama",31806,37450,18076
0500000US01035,01035,"Conecuh County, Alabama",21974,26917,10604
0500000US01037,01037,"Coosa County, Alabama",29162,31719,16640
0500000US01039,01039,"Covington County, Alabama",26215,29405,15612
0500000US01041,01041,"Crenshaw County, Alabama",25783,29057,13305
0500000US01043,01043,"Cullman County, Alabama",32069,36441,20631
0500000US01045,01045,"Dale County, Alabama",31493,38504,21846
0500000US01047,01047,"Dallas County, Alabama",23559,32311,11485
0500000US01049,01049,"DeKalb County, Alabama",29792,32933,19019
0500000US01051,01051,"Elmore County, Alabama",40933,45112,25829
0500000US01053,01053,"Escambia County, Alabama",27979,32606,16504
0500000US01055,01055,"Etowah County, Alabama",31073,36466,18090
0500000US01057,01057,"Fayette County, Alabama",28678,32976,13716
0500000US01059,01059,"Franklin County, Alabama",27181,32592,15578
0500000US01061,01061,"Geneva County, Alabama",26176,30327,15129
0500000US01063,01063,"Greene County, Alabama",20151,23547,11597
0500000US01065,01065,"Hale County, Alabama",25919,29698,11899
0500000US01067,01067,"Henry County, Alabama",29598,33817,14429
0500000US01069,01069,"Houston County, Alabama",34372,42199,19854
0500000US01071,01071,"Jackson County, Alabama",32090,36660,18777
0500000US01073,01073,"Jefferson County, Alabama",36534,45976,22919
0500000US01075,01075,"Lamar County, Alabama",27962,31649,14481
0500000US01077,01077,"Lauderdale County, Alabama",33348,40932,16877
0500000US01079,01079,"Lawrence County, Alabama",31430,35513,18400
0500000US01081,01081,"Lee County, Alabama",30707,45615,13502
0500000US01083,01083,"Limestone County, Alabama",37482,43246,20863
0500000US01085,01085,"Lowndes County, Alabama",23039,26202,9282
0500000US01087,01087,"Macon County, Alabama",21210,29545,11438
0500000US01089,01089,"Madison County, Alabama",44688,55689,25146
0500000US01091,01091,"Marengo County, Alabama",28059,32896,12206
0500000US01093,01093,"Marion County, Alabama",27284,31514,16000
0500000US01095,01095,"Marshall County, Alabama",32018,38354,18360
0500000US01097,01097,"Mobile County, Alabama",33431,41423,19103
0500000US01099,01099,"Monroe County, Alabama",28992,31980,14111
0500000US01101,01101,"Montgomery County, Alabama",35888,46026,22141
0500000US01103,01103,"Morgan County, Alabama",37548,45667,21395
0500000US01105,01105,"Perry County, Alabama",20239,25770,11102
0500000US01107,01107,"Pickens County, Alabama",25637,29720,12965
0500000US01109,01109,"Pike County, Alabama",25789,33798,13012
0500000US01111,01111,"Randolph County, Alabama",28434,32131,17370
0500000US01113,01113,"Russell County, Alabama",27249,32847,19391
0500000US01115,01115,"St. Clair County, Alabama",37432,40549,25801
0500000US01117,01117,"Shelby County, Alabama",55248,61789,32429
0500000US01119,01119,"Sumter County, Alabama",19133,23510,9636
0500000US01121,01121,"Talladega County, Alabama",31044,35821,15622
0500000US01123,01123,"Tallapoosa County, Alabama",30638,36203,17689
0500000US01125,01125,"Tuscaloosa County, Alabama",33632,45783,17302
0500000US01127,01127,"Walker County, Alabama",28856,32037,16534
0500000US01129,01129,"Washington County, Alabama",31223,33342,16369
0500000US01131,01131,"Wilcox County, Alabama",16620,19196,8496
0500000US01133,01133,"Winston County, Alabama",28320,31121,15453
0500000US02013,02013,"Aleutians East Borough, Alaska",46250,47708,45469
0500000US02016,02016,"Aleutians West Census Area, Alaska",60071,60313,60040
0500000US02020,02020,"Anchorage Municipality, Alaska",55441,71772,35414
0500000US02050,02050,"Bethel Census Area, Alaska",35990,34505,38849
0500000US02060,02060,"Bristol Bay Borough, Alaska",52647,57778,49688
0500000US02068,02068,"Denali Borough, Alaska",54896,62386,41442
0500000US02070,02070,"Dillingham Census Area, Alaska",42703,42837,42500
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",48591,65153,33479
0500000US02100,02100,"Haines Borough, Alaska",40919,50117,25682
0500000US02110,02110,"Juneau City and Borough, Alaska",62496,76873,37402
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",46655,54450,29153
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",51603,65551,35662
0500000US02150,02150,"Kodiak Island Borough, Alaska",53613,70127,41882
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",37500,40511,32917
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",50698,55848,29041
0500000US02180,02180,"Nome Census Area, Alaska",41306,39211,45203
0500000US02185,02185,"North Slope Borough, Alaska",63750,67313,61083
0500000US02188,02188,"Northwest Arctic Borough, Alaska",45449,42300,48684
0500000US02201,02201,"Prince of Wales-Outer Ketchikan Census Area, Alaska",40439,43411,35742
0500000US02220,02220,"Sitka City and Borough, Alaska",51490,64462,35313
0500000US02232,02232,"Skagway-Hoonah-Angoon Census Area, Alaska",41647,44792,38300
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",38186,45952,27197
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",49031,60201,35205
0500000US02270,02270,"Wade Hampton Census Area, Alaska",30265,28774,34444
0500000US02280,02280,"Wrangell-Petersburg Census Area, Alaska",46195,51004,33523
0500000US02282,02282,"Yakutat City and Borough, Alaska",47188,54167,33958
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",28990,29125,28826
0500000US04001,04001,"Apache County, Arizona",22994,22083,25402
0500000US04003,04003,"Cochise County, Arizona",32102,38207,23837
0500000US04005,04005,"Coconino County, Arizona",38296,47796,27275
0500000US04007,04007,"Gila County, Arizona",30374,33675,21580
0500000US04009,04009,"Graham County, Arizona",29344,34957,19098
0500000US04011,04011,"Greenlee County, Arizona",38878,34315,41577
0500000US04012,04012,"La Paz County, Arizona",25691,26505,22070
0500000US04013,04013,"Maricopa County, Arizona",45167,54648,30063
0500000US04015,04015,"Mohave County, Arizona",31366,34084,24842
0500000US04017,04017,"Navajo County, Arizona",28659,31942,21210
0500000US04019,04019,"Pima County, Arizona",36532,46347,23673
0500000US04021,04021,"Pinal County, Arizona",35658,39140,24416
0500000US04023,04023,"Santa Cruz County, Arizona",29452,34688,20509
0500000US04025,04025,"Yavapai County, Arizona",34710,38632,24678
0500000US04027,04027,"Yuma County, Arizona",31880,35809,23435
0500000US05001,05001,"Arkansas County, Arkansas",30282,36991,18979
0500000US05003,05003,"Ashley County, Arkansas",32144,36664,19697
0500000US05005,05005,"Baxter County, Arkansas",29261,32100,19066
0500000US05007,05007,"Benton County, Arkansas",40268,45266,28624
0500000US05009,05009,"Boone County, Arkansas",30115,34177,18134
0500000US05011,05011,"Bradley County, Arkansas",25519,29937,13926
0500000US05013,05013,"Calhoun County, Arkansas",28147,29847,22969
0500000US05015,05015,"Carroll County, Arkansas",27764,30809,21243
0500000US05017,05017,"Chicot County, Arkansas",21493,25742,15046
0500000US05019,05019,"Clark County, Arkansas",28610,35530,15326
0500000US05021,05021,"Clay County, Arkansas",25047,27882,17892
0500000US05023,05023,"Cleburne County, Arkansas",31340,34055,19197
0500000US05025,05025,"Cleveland County, Arkansas",32250,35825,19583
0500000US05027,05027,"Columbia County, Arkansas",27283,33081,16740
0500000US05029,05029,"Conway County, Arkansas",30727,35548,18954
0500000US05031,05031,"Craighead County, Arkansas",32409,42228,20208
0500000US05033,05033,"Crawford County, Arkansas",32913,36798,21292
0500000US05035,05035,"Crittenden County, Arkansas",30030,39455,19267
0500000US05037,05037,"Cross County, Arkansas",29120,33590,19688
0500000US05039,05039,"Dallas County, Arkansas",25799,29647,17092
0500000US05041,05041,"Desha County, Arkansas",23804,31753,13027
0500000US05043,05043,"Drew County, Arkansas",28245,35297,17129
0500000US05045,05045,"Faulkner County, Arkansas",38155,47076,22235
0500000US05047,05047,"Franklin County, Arkansas",30580,33698,17393
0500000US05049,05049,"Fulton County, Arkansas",25728,28268,17038
0500000US05051,05051,"Garland County, Arkansas",31434,36779,20107
0500000US05053,05053,"Grant County, Arkansas",36856,40556,24605
0500000US05055,05055,"Greene County, Arkansas",31024,37010,20349
0500000US05057,05057,"Hempstead County, Arkansas",28846,33523,19055
0500000US05059,05059,"Hot Spring County, Arkansas",31472,34238,21463
0500000US05061,05061,"Howard County, Arkansas",28384,32892,19591
0500000US05063,05063,"Independence County, Arkansas",31558,36146,19457
0500000US05065,05065,"Izard County, Arkansas",26071,30072,14969
0500000US05067,05067,"Jackson County, Arkansas",25255,31243,16250
0500000US05069,05069,"Jefferson County, Arkansas",31413,39531,19670
0500000US05071,05071,"Johnson County, Arkansas",27853,31705,19280
0500000US05073,05073,"Lafayette County, Arkansas",24926,28013,14978
0500000US05075,05075,"Lawrence County, Arkansas",27050,30947,16725
0500000US05077,05077,"Lee County, Arkansas",20142,26349,13790
0500000US05079,05079,"Lincoln County, Arkansas",29608,33306,17342
0500000US05081,05081,"Little River County, Arkansas",29326,34089,17184
0500000US05083,05083,"Logan County, Arkansas",28567,31471,18906
0500000US05085,05085,"Lonoke County, Arkansas",39983,46282,22462
0500000US05087,05087,"Madison County, Arkansas",28501,31852,19792
0500000US05089,05089,"Marion County, Arkansas",26766,29464,19841
0500000US05091,05091,"Miller County, Arkansas",30951,36795,19503
0500000US05093,05093,"Mississippi County, Arkansas",27604,35625,18036
0500000US05095,05095,"Monroe County, Arkansas",22410,28593,13333
0500000US05097,05097,"Montgomery County, Arkansas",27716,30551,16034
0500000US05099,05099,"Nevada County, Arkansas",27014,30375,12417
0500000US05101,05101,"Newton County, Arkansas",24532,27207,15196
0500000US05103,05103,"Ouachita County, Arkansas",29307,34705,17962
0500000US05105,05105,"Perry County, Arkansas",30811,32652,21629
0500000US05107,05107,"Phillips County, Arkansas",22009,31234,14150
0500000US05109,05109,"Pike County, Arkansas",27807,30489,19125
0500000US05111,05111,"Poinsett County, Arkansas",26299,31877,16680
0500000US05113,05113,"Polk County, Arkansas",25186,28368,17010
0500000US05115,05115,"Pope County, Arkansas",32268,38881,21059
0500000US05117,05117,"Prairie County, Arkansas",29500,33265,19375
0500000US05119,05119,"Pulaski County, Arkansas",37914,49457,25044
0500000US05121,05121,"Randolph County, Arkansas",27878,32294,15850
0500000US05123,05123,"St. Francis County, Arkansas",26250,32319,14118
0500000US05125,05125,"Saline County, Arkansas",42470,46453,27179
0500000US05127,05127,"Scott County, Arkansas",26422,29574,18550
0500000US05129,05129,"Searcy County, Arkansas",21567,24609,12593
0500000US05131,05131,"Sebastian County, Arkansas",33776,42605,23087
0500000US05133,05133,"Sevier County, Arkansas",29603,32603,21968
