county,1989,1979,1979 in 1989,1969,1969 in 1989
"Autauga County, AL","28,337","16,524","27,689","6,808","21,426"
"Baldwin County, AL","25,712","14,614","24,488","6,430","20,237"
"Barbour County, AL","19,389","10,058","16,854","4,318","13,590"
"Bibb County, AL","19,775","12,299","20,609","4,935","15,531"
"Blount County, AL","22,382","12,657","21,209","5,572","17,536"
"Bullock County, AL","14,745","8,204","13,747","3,088","9,719"
"Butler County, AL","16,054","10,206","17,102","4,479","14,096"
"Calhoun County, AL","23,802","13,665","22,898","6,536","20,570"
"Chambers County, AL","21,256","12,304","20,618","6,092","19,173"
"Cherokee County, AL","21,368","12,004","20,115","5,522","17,379"
"Chilton County, AL","21,627","11,879","19,905","4,940","15,547"
"Choctaw County, AL","17,115","10,134","16,981","4,550","14,320"
"Clarke County, AL","19,067","12,091","20,261","5,215","16,413"
"Clay County, AL","19,252","10,984","18,406","5,109","16,079"
"Cleburne County, AL","21,158","12,782","21,418","5,792","18,229"
"Coffee County, AL","23,905","14,148","23,707","6,200","19,513"
"Colbert County, AL","22,378","15,445","25,881","6,803","21,410"
"Conecuh County, AL","15,992","9,211","15,435","3,846","12,104"
"Coosa County, AL","20,279","10,968","18,379","5,600","17,624"
"Covington County, AL","18,394","11,209","18,783","5,052","15,900"
"Crenshaw County, AL","16,460","8,906","14,924","3,740","11,771"
"Cullman County, AL","21,672","12,117","20,304","5,581","17,565"
"Dale County, AL","24,091","12,627","21,159","7,066","22,238"
"Dallas County, AL","16,493","10,565","17,704","4,987","15,695"
"DeKalb County, AL","20,135","11,475","19,228","4,715","14,839"
"Elmore County, AL","26,341","14,985","25,110","5,993","18,861"
"Escambia County, AL","18,472","11,580","19,404","5,497","17,300"
"Etowah County, AL","22,314","13,320","22,320","6,717","21,140"
"Fayette County, AL","19,844","11,878","19,904","4,822","15,176"
"Franklin County, AL","17,907","12,112","20,296","5,402","17,001"
"Geneva County, AL","20,027","10,866","18,208","5,030","15,830"
"Greene County, AL","11,990","7,406","12,410","2,569","8,085"
"Hale County, AL","14,508","8,236","13,801","3,248","10,222"
"Henry County, AL","22,130","11,627","19,483","4,429","13,939"
"Houston County, AL","24,813","14,075","23,585","6,424","20,218"
"Jackson County, AL","21,910","13,772","23,077","5,684","17,889"
"Jefferson County, AL","25,858","15,656","26,234","7,518","23,661"
"Lamar County, AL","20,618","12,695","21,273","4,329","13,624"
"Lauderdale County, AL","23,690","15,093","25,291","6,788","21,363"
"Lawrence County, AL","21,519","12,097","20,271","5,524","17,385"
"Lee County, AL","21,227","11,655","19,530","6,615","20,819"
"Limestone County, AL","26,875","14,223","23,833","6,133","19,302"
"Lowndes County, AL","15,584","8,383","14,047","3,288","10,348"
"Macon County, AL","15,642","8,843","14,818","4,161","13,096"
"Madison County, AL","33,048","16,957","28,414","9,788","30,805"
"Marengo County, AL","18,663","10,494","17,585","4,137","13,020"
"Marion County, AL","18,455","11,964","20,048","5,413","17,036"
"Marshall County, AL","21,458","12,433","20,834","5,830","18,348"
"Mobile County, AL","22,994","14,702","24,636","6,968","21,930"
"Monroe County, AL","21,140","11,596","19,431","4,476","14,087"
"Montgomery County, AL","26,551","14,877","24,929","7,075","22,266"
"Morgan County, AL","28,364","15,790","26,459","7,533","23,708"
"Perry County, AL","13,769","7,856","13,164","3,871","12,183"
"Pickens County, AL","17,879","10,436","17,487","4,444","13,986"
"Pike County, AL","17,312","9,748","16,334","4,568","14,376"
"Randolph County, AL","19,440","10,398","17,424","5,052","15,900"
"Russell County, AL","20,995","11,344","19,009","5,347","16,828"
"St. Clair County, AL","24,106","14,485","24,272","5,876","18,493"
"Shelby County, AL","36,852","18,272","30,618","6,323","19,900"
"Sumter County, AL","12,811","9,185","15,391","3,413","10,741"
"Talladega County, AL","21,378","12,625","21,155","6,225","19,591"
"Tallapoosa County, AL","22,020","12,476","20,906","5,636","17,738"
"Tuscaloosa County, AL","23,056","13,119","21,983","6,307","19,849"
"Walker County, AL","20,464","13,185","22,094","5,451","17,155"
