GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17
0500000US01001,01001,"Autauga County, Alabama",18288,278,13305,415,10057,409,4983,375,6.9,1.1,4.0,1.1,1.2,0.5,16.9,3.4,5.4,0.9,3.0,0.8,1.4,0.5,12.7,2.7,9.0,1.3,5.9,1.3,3.5,1.1,18.1,3.2,11.2,1.5,8.4,1.3,6.1,1.3,17.2,3.8,16.3,1.7,15.9,1.7,14.4,2.0,17.5,3.3,19.7,1.7,22.0,2.3,23.9,2.7,11.8,2.9,15.1,1.4,19.2,1.7,22.1,2.2,4.2,1.9,11.7,1.1,15.5,1.4,19.8,1.9,0.7,0.5,3.3,0.8,4.3,1.1,5.4,1.4,0.5,0.5,1.4,0.5,1.8,0.6,2.2,0.8,0.3,0.5,51463,2119,63458,3206,74509,3195,26082,1748,62986,2443,73642,3026,83268,2980,31868,1930,22.6,,(X),,(X),,(X),,(X),,23.0,,(X),,(X),,(X),,(X),,(X),,21.2,
0500000US01003,01003,"Baldwin County, Alabama",68497,1123,49464,1124,40000,1108,19033,924,5.4,0.8,3.5,0.7,1.6,0.6,11.9,1.6,5.0,0.6,3.3,0.7,2.0,0.6,10.0,1.6,12.0,1.0,8.4,1.0,6.1,0.8,21.8,2.4,12.2,1.1,11.5,1.2,10.1,1.2,14.4,1.9,16.4,1.1,15.9,1.3,15.1,1.3,17.1,2.2,19.3,1.1,21.4,1.3,23.7,1.5,13.5,1.9,12.1,0.8,13.7,1.0,15.6,1.2,6.2,1.3,11.2,0.8,14.1,1.1,16.4,1.3,3.3,0.9,3.2,0.4,4.1,0.6,4.9,0.7,0.8,0.4,3.1,0.4,3.9,0.6,4.6,0.7,1.1,0.5,48918,1349,57447,1642,64737,1441,28419,1575,65091,1391,74182,1789,82012,2057,39145,1772,30.7,,(X),,(X),,(X),,(X),,30.5,,(X),,(X),,(X),,(X),,(X),,30.1,
0500000US01005,01005,"Barbour County, Alabama",10645,372,7430,365,4835,327,3215,319,19.7,2.4,12.8,2.7,2.9,1.5,35.5,5.4,8.6,1.9,6.1,2.0,2.8,1.3,14.9,4.0,13.5,1.9,12.8,2.1,7.8,2.0,16.8,4.0,11.1,2.2,9.9,2.3,8.3,2.3,14.0,4.5,16.1,2.2,19.4,3.2,23.5,4.2,8.5,3.2,17.8,2.8,21.4,3.6,29.4,5.5,7.8,2.9,6.5,1.4,8.3,1.9,12.1,2.8,1.9,1.7,4.5,1.1,6.1,1.5,8.4,2.2,0.7,0.7,1.5,0.5,2.1,0.8,3.1,1.2,0.0,1.0,0.8,0.5,1.1,0.7,1.7,1.1,0.0,1.0,32537,2396,40109,2986,52622,2211,14838,2608,40998,2519,48736,3355,,,21919,2198,30.4,,(X),,(X),,(X),,(X),,31.2,,(X),,(X),,(X),,(X),,(X),,28.4,
0500000US01007,01007,"Bibb County, Alabama",7525,342,5582,380,4225,370,1943,315,8.1,2.1,3.1,1.5,0.9,0.6,23.5,6.9,7.5,2.1,3.6,2.0,2.0,1.2,17.6,6.2,12.9,2.7,10.4,2.7,8.3,2.6,21.6,6.1,14.1,3.4,14.4,3.9,10.7,3.8,13.3,6.1,15.5,3.5,16.1,4.3,17.5,4.8,14.5,6.5,22.1,4.0,27.3,4.9,32.0,5.0,4.9,2.7,9.4,2.1,11.9,2.5,13.3,3.3,2.1,2.2,8.8,2.8,11.3,3.9,14.2,4.8,1.4,1.6,1.4,1.0,1.5,1.2,1.1,1.1,1.1,1.6,0.2,0.4,0.3,0.4,0.0,0.8,0.1,0.8,41236,4139,51951,4252,58658,2421,19729,5328,49671,2875,57422,3863,,,26483,4686,40.7,,(X),,(X),,(X),,(X),,41.8,,(X),,(X),,(X),,(X),,(X),,37.1,
0500000US01009,01009,"Blount County, Alabama",19228,455,14213,435,11700,548,5015,441,7.6,1.3,3.8,1.1,2.0,0.8,19.7,4.0,6.9,1.2,3.5,1.0,1.4,0.5,16.8,3.8,12.7,1.5,9.0,1.6,8.7,1.6,22.6,4.1,11.1,1.6,10.7,1.8,8.2,1.4,13.1,3.7,16.6,2.0,17.5,2.2,17.4,2.2,15.2,3.4,22.1,2.0,26.4,2.3,28.6,2.7,8.0,3.5,10.7,1.2,13.1,1.6,15.1,1.9,3.0,1.4,8.7,1.4,11.3,1.8,13.0,2.1,1.1,0.8,2.3,0.6,3.1,0.9,3.8,1.0,0.3,0.4,1.3,0.5,1.6,0.7,1.7,0.8,0.4,0.5,45406,1861,53807,2199,58483,2594,19613,1443,55028,2101,63934,2724,69007,2781,28025,2540,26.2,,(X),,(X),,(X),,(X),,26.6,,(X),,(X),,(X),,(X),,(X),,24.3,
0500000US01011,01011,"Bullock County, Alabama",3929,225,2488,288,1304,279,1441,270,23.3,5.9,17.6,7.5,4.6,5.9,33.9,8.6,6.4,2.9,5.7,3.8,1.1,1.4,7.4,4.6,17.4,5.1,15.8,5.7,9.0,5.8,19.3,9.5,15.9,6.2,12.7,5.6,13.0,6.9,21.3,11.4,9.5,3.5,10.1,3.9,14.7,6.6,8.5,7.0,11.5,4.4,16.7,6.7,20.9,9.7,2.6,2.9,8.9,4.2,10.5,4.6,18.9,7.9,6.3,8.5,4.0,2.3,6.3,3.5,11.2,6.3,0.0,2.2,1.1,1.2,1.8,2.0,1.4,2.1,0.0,2.2,2.0,1.4,2.8,2.1,5.3,4.1,0.7,1.3,26209,4003,33763,9123,55511,6593,17470,5437,43609,7843,53220,12003,,,26868,6595,39.3,,(X),,(X),,(X),,(X),,40.0,,(X),,(X),,(X),,(X),,(X),,38.2,
0500000US01013,01013,"Butler County, Alabama",8056,346,5392,298,3287,282,2664,285,13.7,2.4,7.8,2.3,3.3,2.1,26.1,4.8,11.1,2.1,10.0,2.6,5.3,2.7,16.3,3.7,16.4,2.6,13.7,2.7,7.9,2.8,20.5,5.1,13.6,2.1,12.3,2.8,9.1,2.8,16.5,4.3,15.6,2.2,16.8,3.0,18.7,4.1,12.0,4.4,15.7,2.6,19.6,3.5,25.8,5.0,6.6,3.3,7.4,2.0,10.5,2.8,16.0,4.2,1.1,1.1,4.3,1.3,5.9,1.8,9.6,3.0,0.9,1.1,1.4,1.1,2.1,1.6,2.3,1.9,0.0,1.2,0.8,0.6,1.2,0.8,2.0,1.4,0.0,1.2,31938,2382,39808,2807,54025,5423,18686,1859,41486,2501,49690,3527,,,23375,1963,29.6,,(X),,(X),,(X),,(X),,33.3,,(X),,(X),,(X),,(X),,(X),,21.5,
0500000US01015,01015,"Calhoun County, Alabama",47046,738,31366,744,22147,712,15680,658,12.1,1.1,7.4,1.1,2.2,0.7,23.0,2.3,8.1,0.7,4.5,0.8,2.0,0.7,16.3,1.8,13.3,1.1,10.9,1.1,7.6,1.0,17.9,2.3,12.7,1.3,12.1,1.5,11.2,1.7,14.9,2.0,14.9,1.1,16.3,1.2,16.4,1.3,11.5,1.7,18.1,1.3,21.6,1.6,25.3,2.0,9.6,1.5,9.9,0.9,13.2,1.2,16.9,1.7,3.1,1.1,7.3,0.8,9.4,1.1,12.6,1.4,2.1,1.0,2.0,0.4,2.7,0.6,3.4,0.8,0.7,0.4,1.5,0.4,1.9,0.5,2.2,0.6,0.8,0.6,38382,1391,48971,1463,59269,1754,21362,1789,50831,1434,59656,1909,69986,2233,31111,2165,27.6,,(X),,(X),,(X),,(X),,28.3,,(X),,(X),,(X),,(X),,(X),,25.1,
0500000US01017,01017,"Chambers County, Alabama",13672,401,9416,433,6542,442,4256,377,11.3,1.6,7.2,1.8,4.0,1.4,21.1,3.6,10.1,1.5,5.0,1.5,2.4,1.2,21.5,3.4,17.2,1.9,14.9,2.4,12.0,2.6,23.3,4.1,13.7,2.0,13.3,2.5,11.0,2.7,14.2,3.5,15.8,1.7,18.5,2.1,19.3,2.5,8.7,2.3,18.0,2.1,22.8,2.9,28.0,3.9,7.9,2.3,7.8,1.5,9.8,2.0,12.5,2.6,2.8,1.8,5.2,1.1,7.4,1.5,9.1,1.8,0.1,0.2,0.5,0.3,0.8,0.5,1.1,0.7,0.0,0.8,0.4,0.2,0.4,0.3,0.6,0.4,0.4,0.6,32433,2394,40753,1850,50821,2753,17852,2383,41665,1812,49002,2117,,,24537,2218,28.2,,(X),,(X),,(X),,(X),,30.1,,(X),,(X),,(X),,(X),,(X),,23.3,
0500000US01019,01019,"Cherokee County, Alabama",10261,407,7564,462,6362,438,2697,368,10.2,2.1,5.8,2.2,2.5,1.2,22.6,5.1,9.0,2.3,3.8,1.6,2.3,1.3,25.2,6.7,13.9,2.2,13.7,2.7,12.8,2.9,15.2,4.3,11.7,2.2,11.3,2.7,11.4,3.0,14.4,5.2,16.8,2.2,18.0,2.6,18.5,3.0,12.2,4.0,17.9,2.9,21.9,3.7,23.5,4.0,5.3,3.1,12.2,2.6,15.0,3.3,17.1,3.8,3.5,2.4,5.4,1.4,6.8,1.9,7.7,2.1,1.2,1.2,2.0,0.9,2.6,1.2,3.1,1.4,0.0,1.2,0.9,0.6,1.1,0.7,1.0,0.8,0.3,0.5,40240,2550,47489,3535,53192,5414,16190,3128,48348,2620,56067,2922,,,25163,3034,28.7,,(X),,(X),,(X),,(X),,29.0,,(X),,(X),,(X),,(X),,(X),,27.1,
