"PWS ID","PWS Name","Primacy Agency","Owner Type","Primary Source","Population Served Count","Address Line1","Address Line2","City Name","State Code","Zip Code","First Reported Date","Last Reported Date"
"MN1250020","Zumbrota","Minnesota","Local government","Ground water","3,172","Zumbrota City Hall","175 West Avenue","Zumbrota","MN","55992","24-JAN-1981","07-JUN-2018"
"MN1710006","Zimmerman","Minnesota","Local government","Ground water","5,334","Zimmerman City Hall","12980 Fremont Avenue","Zimmerman","MN","55398","24-JAN-1981","07-JUN-2018"
"WA5399800","ZILLAH, CITY OF","Washington","Local government","Ground water","3,140","City of Zillah","PO Box 475","Zillah","WA","98953","07-FEB-1981","22-JUN-2018"
"LA1085032","TOWN OF ZWOLLE WATER SYSTEM","Louisiana","Local government","Ground water","2,400","TOWN OF ZWOLLE","P.O. BOX 1038","ZWOLLE","LA","71486","06-MAR-1980","13-JUN-2018"
"FL6250332","ZOLFO SPRINGS, CITY OF","Florida","Local government","Ground water","1,800","P O BOX 162","-","ZOLFO SPRINGS","FL","33890-0162","10-FEB-1979","18-MAY-2018"
"IL0972000","ZION","Illinois","Local government","Surface water purchased","24,413","CITY OF ZION","2828 SHERIDAN RD","ZION","IL","60099","13-FEB-1981","13-JUN-2018"
"FL6510379","COUNTRY AIRE VILLAGE MHP","Florida","Private","Ground water","650","39333 BLUE SKYE DR.","-","ZEPHYRHILLS","FL","33542","10-FEB-1979","18-MAY-2018"
"FL6512020","ZEPHYRHILLS CITY OF","Florida","Local government","Ground water","21,823","5335 8TH ST","-","ZEPHYRHILLS","FL","33542","10-FEB-1979","18-MAY-2018"
"CA0910019","LAKESIDE PARK ASSOCIATION","California","Private","Surface water","1,000","PO BOX 1775","-","ZEPHYR COVE","NV","89448","22-MAR-1979","17-MAY-2018"
"NV0000260","ROUND HILL GID","Nevada","Local government","Surface water","1,200","PO BOX 976","-","ZEPHYR COVE","NV","89448","24-MAR-1979","10-MAY-2018"
"TX0250019","ZEPHYR WSC","Texas","Local government","Surface water purchased","4,446","PO BOX 722","-","ZEPHYR","TX","76890-0722","14-MAR-1980","18-JUN-2018"
"FL3481507","ZELLWOOD WATER USERS INC. (2 WPS)","Florida","Private","Ground water","1,257","PO BOX 865","-","ZELLWOOD","FL","32798-0865","10-FEB-1979","18-MAY-2018"
"FL3481506","ZELLWOOD STATION (CONSEC)","Florida","Private","Ground water","2,571","2126 SPILLMAN DR","-","ZELLWOOD","FL","32798","10-FEB-1979","18-MAY-2018"
"PA5100093","ZELIENOPLE BORO","Pennsylvania","Local government","Surface water purchased","4,123","111 W NEW CASTLE ST","-","ZELIENOPLE","PA","16063","12-FEB-1979","28-JUN-2018"
"IL0550750","ZEIGLER","Illinois","Local government","Surface water purchased","2,100","301 CHURCH STREET","-","ZEIGLER","IL","62999","13-FEB-1981","13-JUN-2018"
"MI0007270","ZEELAND BOARD OF PUBLIC WORKS","Michigan","Local government","Surface water purchased","7,921","350 E WASHINGTON AVE","-","ZEELAND","MI","49464-1334","03-FEB-1981","26-JUN-2018"
"NC0392218","BAYWOOD FOREST S/D","North Carolina","Private","Ground water","533","7536 NC 39 HWY","-","ZEBULON","NC","27597","12-MAR-1980","28-JUN-2018"
"GA2310004","ZEBULON","Georgia","Local government","Surface water purchased","1,217","POB 385","-","ZEBULON","GA","30295-0385","12-MAR-1980","04-MAY-2018"
