PWS ID,lat,lng,FIPS
MS0400016,32.7326356000,-89.5361825000,28079
TX2300005,32.7287472000,-94.9424379000,48459
WA5343783,47.8847447000,-120.1567011000,53007
AL0001290,33.2569820000,-87.7526658000,01125
IL0111100,41.5567012000,-89.5934315000,17011
MN1790004,44.4492982000,-92.2666914000,27157
TX1600001,30.7487884000,-99.2306110000,48319
GA1070006,32.5829413000,-82.1551219000,13107
IL1630650,38.6039375000,-89.8073195000,17163
TX0740005,33.3795549000,-96.2474785000,48147
TN0000594,36.4073170000,-83.0054423000,47073
CA3410026,38.6000000000,-121.4500000000,06067
MN1170005,44.0421825000,-95.4361128000,27033
WI2460107,43.4997212000,-87.8503670000,55089
CO0121800,38.7665005000,-104.8804893000,08041
AZ0406002,33.0508859000,-109.3280282000,04011
OR4100504,42.0126551000,-121.4086021000,41035
MD0180007,38.3583554000,-76.5719414000,24037
CA4310007,37.4284340000,-122.0723816000,06085
TN0000649,35.0298052000,-87.0030632000,47055
IA7853043,41.4488816000,-95.6155615000,19155
FL1570316,30.3571438000,-87.1638574000,12113
PA2450023,40.9995386000,-75.1812913000,42089
IL0170150,40.0175483000,-90.4242916000,17017
MS0530021,33.3445684000,-89.0453397000,28105
MS0310014,31.8296038000,-89.4281208000,28129
PA3540049,40.5984249000,-76.0932720000,42107
MT0000259,48.1919889000,-114.3168130000,30029
CO0103045,39.6477653000,-104.9877597000,08005
MA4338000,42.0791077000,-70.9368469000,25023
MA2110000,42.1992877000,-71.6792008000,25027
WV3305412,39.4006299000,-81.4481766000,54107
MN1320002,43.7944036000,-95.3224986000,27063
FL1570042,30.6324149000,-87.0396881000,12113
IL1170550,39.1200471000,-90.3284479000,17083
NY1500276,43.9503352000,-73.4370667000,36031
IA7700800,41.7152759000,-93.5711466000,19153
NV0000045,39.4748693000,-118.7770407000,32001
AR0000486,34.6050315000,-92.4900943000,05125
NE3109904,40.4986252000,-98.9478594000,31099
WA5355210,47.3292640000,-122.5801293000,53053
AR0000622,33.1073435000,-92.3566861000,05139
WI1110038,43.3380464000,-89.0153875000,55021
CA2710006,36.6100000000,-121.9000000000,06053
FL6512018,28.7150611000,-81.4169093000,12117
PA7360091,40.1098180000,-76.5032996000,42071
WV3305404,39.1242444000,-81.7354088000,54107
OK1021202,36.7069810000,-97.0855948000,40071
OH0600712,40.5678265000,-84.1935594000,39011
WA5325150,47.2395428000,-122.5159586000,53053
LA1079004,31.3533863000,-92.1499356000,22079
OK2003702,35.8614320000,-97.9317203000,40073
NY0100198,42.7200000000,-73.7600000000,36001
WA5330700,48.5392813000,-121.7462513000,53057
WI6270298,44.4371839000,-90.9112580000,55053
GA1430010,33.7028848000,-85.1832821000,13143
OH0201312,40.7089380000,-84.3535640000,39003
WI4600437,43.5697201000,-87.8234219000,55117
MS0570013,31.2837867000,-90.4684315000,28113
NC0424010,34.3387802000,-78.7030721000,37047
WY5600041,42.8678809000,-109.8633501000,56035
NE3103505,40.3722317000,-97.9714319000,31035
NE3109705,40.3667541000,-96.1957864000,31097
MO5010699,37.1169950000,-93.0557343000,29225
ME0091200,44.9342349000,-68.6453092000,23019
LA1013013,32.3284899000,-93.2798916000,22013
GA0670006,33.8595491000,-84.6838240000,13067
IL0670500,40.5500420000,-91.3848749000,17067
NH2384010,43.3696620000,-72.3074326000,33019
OK2000510,35.2153299000,-99.8664925000,40009
TX1010535,30.3081307000,-97.6819430000,48453
MA1236000,42.4500845000,-73.2453824000,25003
TX1010901,29.7508512000,-95.4122817000,48201
KS2017327,37.6300146000,-97.7825513000,20173
OK1010601,33.9924186000,-96.3971233000,40013
CO0157500,38.1305460000,-108.2923037000,08113
NE3105518,41.3110284000,-96.3465622000,31055
WI1130224,43.0324123000,-89.3843206000,55025
CA4510011,40.5441948000,-122.4617007000,06089
MI0004170,42.5792027000,-84.4435845000,26065
WA5387181,47.2147934000,-122.1701766000,53053
ID2290008,46.7993412000,-116.5559894000,16057
OR4100726,45.8589719000,-122.8212299000,41009
TX1290002,32.7481845000,-96.4719312000,48257
AR0000542,35.8684075000,-92.1176521000,05137
OH6100303,39.7478508000,-81.5165127000,39121
SC2210003,33.4512780000,-79.5608971000,45043
MD0200004,38.7853930000,-76.2233202000,24041
IA5625062,40.6471631000,-91.3469247000,19111
LA1017012,32.3333667000,-93.8296541000,22017
KY0550784,37.4303640000,-83.9979834000,21109
OH0903012,39.4808905000,-84.4577222000,39017
WI6560126,45.1230213000,-92.5365865000,55109
MI0005780,42.8441964000,-82.8843722000,26099
WY5600061,41.4549621000,-106.8064263000,56007
IL1790350,40.5369829000,-89.3575913000,17179
FL3481482,28.5950986000,-81.3509416000,12095
NH1381010,44.3061628000,-71.7701237000,33009
OK3006030,36.1133016000,-97.0572308000,40119
AR0000034,36.2831238000,-92.4940505000,05005
UTAH25001,40.1652335000,-111.6107526000,49049
MO4024368,37.5597754000,-90.2940069000,29123
NY2902817,40.7470968000,-73.4828374000,36059
NY0511731,42.9317335000,-76.5660529000,36011
AZ0411100,33.0581063000,-112.0476423000,04021
WA5308200,47.5404160000,-122.7705164000,53035
TX0240001,27.2269872000,-98.1441714000,48047
MA4020004,41.6524911000,-70.2881124000,25001
NE3114303,41.1153115000,-97.5916443000,31143
MA1267000,42.0042655000,-71.3328331000,25021
KY1120431,38.5925630000,-85.3177344000,21223
AL0001002,30.5500000000,-88.1800000000,01097
AZ0408035,35.1894430000,-114.0530065000,04015
NY0400340,42.4631167000,-78.9358680000,36009
NM3529421,36.1672917000,-105.9676136000,35039
CA3010038,33.7526686000,-117.9190418000,06059
OH7004712,40.9667223000,-82.6004515000,39139
KS2001101,37.8958708000,-95.0733077000,20011
IL0970350,42.3652656000,-87.9236747000,17097
UTAH14004,39.3249554000,-112.6710613000,49027
AL0000523,34.5689732000,-85.6149654000,01049
MN1030016,46.8863481000,-96.0945002000,27005
CA4210005,34.5084312000,-119.7310213000,06083
OK2002804,34.9622797000,-99.3806406000,40055
TX1010495,29.7726138000,-95.5144930000,48201
MN1430009,44.7246843000,-94.4858184000,27085
CA3710009,38.6418022000,-121.5255815000,06067
CA1700518,38.8214296000,-122.7191963000,06033
MD0150002,39.1459392000,-77.4169311000,24031
NE3115102,40.6536172000,-97.2861572000,31151
PA1090069,40.2067884000,-75.0998070000,42017
WI4710357,44.0394263000,-88.7442772000,55139
OK1020806,35.4589774000,-97.4056928000,40109
CO0121450,38.8597127000,-104.9171989000,08041
IA5107089,40.9942123000,-92.1673287000,19101
LA1005045,30.2198275000,-90.9205605000,22005
VA3001500,37.9304296000,-75.4752537000,51001
SC3320001,34.1782160000,-79.4006069000,45067
CO0112900,37.2008482000,-105.4239012000,08023
PA4110027,40.3886847000,-78.6722410000,42021
CA3610011,34.2500062000,-117.3258786000,06071
CO0101180,42.5234270000,-83.3784600000,26125
GA1090001,32.1615814000,-81.9040047000,13109
MI0003160,45.0591766000,-83.9011064000,26119
CA1910143,34.2913046000,-118.4338345000,06037
PA3130002,40.9281419000,-75.9146444000,42025
MN1760006,45.1930165000,-95.3205768000,27151
ME0090860,45.3622301000,-68.5050006000,23019
KY0070282,36.6072567000,-83.7142848000,21013
VA4057800,37.9254135000,-76.8591301000,51057
WA5356820,47.2386120000,-122.2925707000,53053
AL0000187,34.2200942000,-85.6077402000,01019
WY5600002,42.7249282000,-110.9318687000,56023
OH8400412,39.4153520000,-81.4548436000,39167
OH1502011,40.9008923000,-80.8567501000,39029
TX0010029,31.7621153000,-95.6307891000,48001
FL6521784,28.1391134000,-82.6807458000,12103
SC2310001,34.8538671000,-82.4085689000,45045
TN0000249,35.7603575000,-84.1357453000,47009
TX2250001,33.1567863000,-94.9682690000,48449
TX1370003,27.5158689000,-97.8561090000,48273
MO2010502,39.1230777000,-93.1968704000,29195
TX1670001,31.4498855000,-98.5708763000,48333
MO6010200,38.0628225000,-91.4034833000,29055
IL0971450,42.2280802000,-87.9628840000,17097
WA5374250,47.2360052000,-117.3699117000,53075
TX1780005,27.7903032000,-97.6688843000,48355
MO5010650,37.4630980000,-93.2726904000,29167
IL0270300,38.6103264000,-89.3725796000,17027
TX2200028,32.8223501000,-97.4933548000,48439
IL1990550,37.6975961000,-88.9222277000,17199
OR4100670,42.7456644000,-124.4973267000,41015
UTAH22030,40.6460622000,-111.4979729000,49043
IL0750050,40.8803113000,-87.9550405000,17075
TX1760001,30.8485337000,-93.7574008000,48351
MO1010921,38.9475830000,-94.4053240000,29095
WA5327600,47.3292640000,-122.5801293000,53053
WA5346500,47.5962326000,-120.6614765000,53007
SC0420001,34.4296214000,-82.6159271000,45007
MO6010801,38.4500517000,-91.0084762000,29071
TN0000322,36.3300793000,-84.1838156000,47013
WA5381451,47.7359280000,-122.6465372000,53035
TX1620003,28.7091433000,-100.4995214000,48323
OH4101103,40.3753456000,-80.7036894000,39081
CA1910246,34.6867846000,-118.1541632000,06037
ID2310001,46.2412760000,-116.4670889000,16061
OK1020609,34.9334298000,-95.7697131000,40121
MS0090010,33.7787271000,-89.0514507000,28017
NE3116303,41.2755650000,-98.9667532000,31163
WI6620270,44.5757974000,-91.4701575000,55121
NY5001207,42.2703487000,-77.6058225000,36101
WA5359994,47.7359280000,-122.6465372000,53035
IN5206003,40.0483744000,-86.4691677000,18011
CA4110007,37.3456227000,-121.8847222000,06085
NC0187010,35.4309291000,-83.4473809000,37173
TX1810005,30.1316001000,-94.0154541000,48361
LA1111012,32.6268108000,-92.4143096000,22111
NC0465015,34.0351726000,-77.8935966000,37129
NC0181040,35.3626230000,-81.8356570000,37161
FL6531917,27.9956037000,-81.7896381000,12105
MO5024317,37.6805967000,-92.6637865000,29105
MN1450005,48.1966421000,-96.7728401000,27089
MI0003943,41.9233827000,-85.5283225000,26149
VA6099340,38.3339998000,-77.0391754000,51099
NE3104505,42.6830238000,-103.4054788000,31045
NJ1420001,40.8782549000,-74.6019776000,34027
LA1101011,29.8832390000,-91.5247963000,22101
NY4500173,42.7925777000,-73.6812293000,36091
NV0000355,39.0716010000,-119.8468043000,32005
AL0000788,34.9692500000,-87.3711316000,01077
TX1570001,30.9499111000,-95.9116188000,48313
NJ1438003,40.7859331000,-74.7801645000,34027
UTAH29005,41.3007423000,-111.8127212000,49057
TX1010124,30.0773024000,-95.4333426000,48201
MO4010132,36.4933927000,-90.0750949000,29069
OH2801612,41.5222735000,-81.3378874000,39055
TX0600001,33.3734427000,-95.6882925000,48119
NY3612221,43.2200583000,-78.3869685000,36073
MO4010078,36.8858853000,-89.9292572000,29207
