,county,GEO.id,FIPS,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,"Autauga County, Alabama",0500000US01001,01001,38323.4,39612.03,40872.63,42080.77,43212.01,44241.9,45145.99,45899.84,46479.01,46859.06,47015.54,47047.14,47070.23,47086.94,47099.37,47109.63,47119.83,47132.08,47148.48,47171.15,47202.2,47365.86,47747.96,48292.98,48945.43,49649.8,50350.57,50992.24,51519.3,51876.24,52007.56,51993.32,51945.94,51858.43,51723.78,51535.01,51285.11,50967.08,50573.94,50098.69,49534.32,50432.05,49479.91,48363.43,47584.56,45772.13,51281.0
1,"Baldwin County, Alabama",0500000US01003,01003,36195.57,36931.89,37644.89,38326.85,38970.01,39566.65,40109.02,40589.38,41000.0,41333.13,41581.04,41761.14,41902.6,42015.3,42109.13,42193.99,42279.75,42376.31,42493.55,42641.35,42829.62,43196.4,43825.86,44647.03,45588.95,46580.65,47551.17,48429.55,49144.82,49626.03,49802.2,49794.17,49761.58,49691.66,49571.64,49388.76,49130.26,48783.37,48335.32,47773.35,47084.69,47488.8,47113.28,45604.97,44516.68,43772.9,50254.0
2,"Barbour County, Alabama",0500000US01005,01005,24306.76,24766.54,25220.34,25668.03,26109.45,26544.44,26972.87,27394.58,27809.42,28217.25,28617.9,29042.5,29508.72,29996.23,30484.69,30953.78,31383.17,31752.53,32041.53,32229.83,32297.12,32263.34,32171.66,32036.54,31872.47,31693.93,31515.39,31351.32,31216.2,31124.52,31090.74,31090.97,31092.55,31096.87,31105.26,31119.1,31139.74,31168.56,31206.9,31256.13,31317.61,31458.12,31250.03,28680.96,29172.82,31082.31,32964.0
3,"Bibb County, Alabama",0500000US01007,01007,27779.96,28941.68,30046.84,31079.95,32025.54,32868.13,33592.24,34182.37,34623.07,34898.84,34994.2,34936.68,34780.57,34550.51,34271.15,33967.14,33663.14,33383.78,33153.72,32997.61,32940.09,33095.57,33519.52,34148.21,34917.9,35764.85,36625.34,37435.62,38131.96,38650.62,38927.88,39058.83,39180.39,39291.53,39391.2,39478.37,39552.01,39611.09,39654.57,39681.41,39690.59,39555.85,37184.98,33119.51,32307.19,33132.13,38678.0
4,"Blount County, Alabama",0500000US01009,01009,31365.74,31991.09,32596.17,33175.18,33722.35,34231.9,34698.03,35114.97,35476.94,35778.14,36012.81,36190.98,36332.79,36447.62,36544.83,36633.79,36723.86,36824.42,36944.83,37094.47,37282.69,37621.83,38178.91,38895.4,39712.72,40572.33,41415.67,42184.17,42819.29,43262.46,43455.13,43500.91,43542.36,43579.37,43611.82,43639.6,43662.58,43680.67,43693.72,43701.64,43704.31,43134.53,41681.4,40645.69,39130.82,38736.43,45813.0
5,"Bullock County, Alabama",0500000US01011,01011,17382.88,18206.31,19004.25,19767.3,20486.08,21151.17,21753.2,22282.77,22730.48,23086.93,23342.74,23530.24,23691.07,23829.74,23950.81,24058.81,24158.26,24253.72,24349.7,24450.75,24561.4,24687.62,24828.05,24976.21,25125.62,25269.81,25402.3,25516.62,25606.3,25664.85,25685.81,25684.21,25678.09,25665.45,25644.3,25612.63,25568.46,25509.78,25434.6,25340.93,25226.76,29926.83,29335.06,31029.3,28394.55,30358.33,31938.0
6,"Butler County, Alabama",0500000US01013,01013,25213.06,25878.07,26492.56,27051.93,27551.59,27986.97,28353.48,28646.52,28861.51,28993.87,29039.01,28974.69,28800.11,28542.83,28230.41,27890.44,27550.46,27238.04,26980.76,26806.18,26741.86,26850.84,27146.82,27583.39,28114.1,28692.52,29272.24,29806.82,30249.84,30554.86,30675.45,30687.74,30698.79,30708.59,30717.12,30724.38,30730.35,30735.01,30738.36,30740.37,30741.05,29033.82,28708.98,27658.35,26519.78,27538.29,32229.0
7,"Calhoun County, Alabama",0500000US01015,01015,36792.26,37063.33,37325.48,37576.85,37815.62,38039.95,38248.01,38437.97,38607.98,38756.23,38880.86,38993.24,39104.29,39211.53,39312.5,39404.73,39485.73,39553.03,39604.17,39636.67,39648.05,39637.88,39608.79,39562.94,39502.46,39429.51,39346.22,39254.75,39157.24,39055.83,38952.67,38836.72,38696.79,38534.78,38352.62,38152.21,37935.48,37704.33,37460.68,37206.45,36943.55,36371.12,36231.16,36059.64,35422.94,35692.23,41703.0
8,"Chambers County, Alabama",0500000US01017,01017,34292.92,34379.13,34462.81,34543.68,34621.47,34695.91,34766.73,34833.66,34896.43,34954.78,35008.42,35055.36,35095.18,35129.96,35161.77,35192.7,35224.84,35260.26,35301.05,35349.29,35407.07,35501.1,35647.0,35830.23,36036.23,36250.46,36458.36,36645.4,36797.0,36898.64,36935.75,36859.71,36639.99,36289.14,35819.73,35244.34,34575.53,33825.87,33007.94,32134.29,31217.5,29798.99,29547.12,28943.6,28721.63,28640.83,34177.0
9,"Cherokee County, Alabama",0500000US01019,01019,31084.28,31467.42,31838.38,32195.39,32536.66,32860.44,33164.94,33448.41,33709.06,33945.13,34154.84,34336.08,34492.12,34629.3,34753.97,34872.44,34991.05,35116.14,35254.05,35411.09,35593.62,35841.47,36173.04,36562.46,36983.87,37411.4,37819.19,38181.38,38472.11,38665.51,38735.73,38735.73,38735.7,38735.63,38735.49,38735.25,38734.91,38734.42,38733.78,38732.95,38731.92,38533.1,34731.14,32595.16,30942.11,30514.46,36296.0
